benchmark,n_train,n_test,weight,pca_dim,model,overall_rmse,cliff_rmse,noncliff_rmse,time_s
CHEMBL231_Ki,776,197,v4,128,TabICL-MLX,0.6441436989585394,0.8251226449605443,0.5738118864687104,1.6915080547332764
CHEMBL231_Ki,776,197,v4,160,TabICL-MLX,0.6423670645314776,0.8363019558742395,0.5659104380464484,2.069605827331543
CHEMBL231_Ki,776,197,v4,192,TabICL-MLX,0.6644962016500122,0.8819298509373263,0.577264764361528,2.5234179496765137
CHEMBL231_Ki,776,197,v5,96,TabICL-MLX,0.6640938695342308,0.8159767006464859,0.6071265628174901,1.3216400146484375
CHEMBL231_Ki,776,197,v5,128,TabICL-MLX,0.6477792915190598,0.8102944957823496,0.5859028615249784,1.7029471397399902
CHEMBL231_Ki,776,197,v5,160,TabICL-MLX,0.6596434367691669,0.8557504686493054,0.5825752174127885,2.071479082107544
CHEMBL231_Ki,776,197,v5,192,TabICL-MLX,0.6602273710865872,0.8636701924597933,0.5796775076691276,2.510761022567749
CHEMBL231_Ki,776,197,v6,96,TabICL-MLX,0.6492142448773935,0.8251427266898617,0.5813087997638665,1.3113808631896973
CHEMBL231_Ki,776,197,v6,128,TabICL-MLX,0.6402375049526193,0.8226930137309824,0.569136569938797,1.678969144821167
CHEMBL231_Ki,776,197,v6,160,TabICL-MLX,0.6694265597563078,0.8722856176795405,0.589389651491609,2.07076096534729
CHEMBL231_Ki,776,197,v6,192,TabICL-MLX,0.6784665333190384,0.8990300422142419,0.59010963257842,2.524060010910034
CHEMBL233_Ki,2512,630,v3,96,TabICL-MLX,0.7267133494643772,0.8076488484054363,0.6643925912274027,3.787738084793091
CHEMBL233_Ki,2512,630,v3,128,TabICL-MLX,0.7176398535744263,0.8029228044983655,0.6515189798946956,4.97460412979126
CHEMBL233_Ki,2512,630,v3,160,TabICL-MLX,0.7321182231879264,0.8196180037699768,0.6642361357824553,6.125910043716431
CHEMBL233_Ki,2512,630,v3,192,TabICL-MLX,0.7190103059515521,0.8101359969047388,0.6478407308312998,7.6052937507629395
CHEMBL233_Ki,2512,630,v4,96,TabICL-MLX,0.7166370764619242,0.8083770756503877,0.6449025558452384,3.7231240272521973
CHEMBL233_Ki,2512,630,v4,128,TabICL-MLX,0.7261590144930578,0.8165763787229953,0.6556882043052398,4.988471031188965
CHEMBL233_Ki,2512,630,v4,160,TabICL-MLX,0.7174745105907757,0.8111181612847844,0.6440805188526887,6.069839954376221
CHEMBL233_Ki,2512,630,v4,192,TabICL-MLX,0.7228282826799637,0.8140031774655685,0.6516599440492125,7.556275129318237
CHEMBL233_Ki,2512,630,v5,96,TabICL-MLX,0.7222044898774358,0.8134516131729805,0.6509660575195347,3.703831672668457
CHEMBL233_Ki,2512,630,v5,128,TabICL-MLX,0.7262941090358157,0.804906315357401,0.665935813618838,5.124941110610962
CHEMBL233_Ki,2512,630,v5,160,TabICL-MLX,0.7277535141676905,0.8239796368480884,0.6522153396769516,6.0899200439453125
CHEMBL233_Ki,2512,630,v5,192,TabICL-MLX,0.7269208701068791,0.8158528765973289,0.6577472183200617,7.552229881286621
CHEMBL233_Ki,2512,630,v6,96,TabICL-MLX,0.7316769486518047,0.8164324596523654,0.6661464976490596,3.6861979961395264
CHEMBL233_Ki,2512,630,v6,128,TabICL-MLX,0.7348543996686083,0.8172335653650947,0.6713794610758291,4.9466776847839355
CHEMBL233_Ki,2512,630,v6,160,TabICL-MLX,0.7303527087078004,0.820675687771582,0.6600105982709801,6.0475850105285645
CHEMBL233_Ki,2512,630,v6,192,TabICL-MLX,0.7292244252535168,0.8222112207242326,0.6565488180398996,7.571072101593018
CHEMBL234_Ki,2924,733,v3,96,TabICL-MLX,0.6164485999040795,0.6346793482908246,0.6019436013014813,4.496670961380005
CHEMBL234_Ki,2924,733,v3,128,TabICL-MLX,0.6177022453338317,0.6347907193432124,0.604129516073215,5.775934934616089
CHEMBL234_Ki,2924,733,v3,160,TabICL-MLX,0.6169829935159872,0.6324846336699519,0.6046988730137327,7.217185974121094
CHEMBL234_Ki,2924,733,v3,192,TabICL-MLX,0.6147335617812073,0.6352403479499266,0.5983614283087056,8.857378005981445
CHEMBL234_Ki,2924,733,v4,96,TabICL-MLX,0.6024937790434745,0.6209960956696464,0.5877575391012482,4.3396406173706055
CHEMBL234_Ki,2924,733,v4,128,TabICL-MLX,0.608503329571193,0.6291058857297582,0.5920473078757122,5.725123882293701
CHEMBL234_Ki,2924,733,v4,160,TabICL-MLX,0.6049218938394706,0.6328614769337887,0.582352824630431,7.212669372558594
CHEMBL234_Ki,2924,733,v4,192,TabICL-MLX,0.6066897233006818,0.635251771657936,0.5835989761629203,8.76627516746521
CHEMBL234_Ki,2924,733,v5,96,TabICL-MLX,0.6102944065035184,0.6119614997640382,0.608999576831539,4.3093061447143555
CHEMBL234_Ki,2924,733,v5,128,TabICL-MLX,0.612888185922937,0.6225757790979761,0.6052754739712938,5.703017950057983
CHEMBL234_Ki,2924,733,v5,160,TabICL-MLX,0.6020463508634762,0.6103508544917768,0.5955322520845178,7.178278684616089
CHEMBL234_Ki,2924,733,v5,192,TabICL-MLX,0.6122686688842888,0.6216312697597027,0.6049147748031632,8.851691961288452
CHEMBL234_Ki,2924,733,v6,96,TabICL-MLX,0.6187776048841026,0.6306650671503471,0.6094076196791973,4.3299150466918945
CHEMBL234_Ki,2924,733,v6,128,TabICL-MLX,0.6104449879669495,0.6365517707411147,0.5894223912381447,5.693962097167969
CHEMBL234_Ki,2924,733,v6,160,TabICL-MLX,0.6131136233861814,0.637009934383819,0.5939376434162219,7.160939931869507
